 2016-10-13 14:09:04,537 [P1244/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-10-13 14:09:04,606 [P1244/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 69ms)
 2016-10-13 14:09:04,607 [P1244/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-10-13 14:09:04,669 [P1244/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 62ms)
 2016-10-13 14:09:04,768 [P1244/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-10-13 14:09:04,769 [P1244/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 0ms)
 2016-10-13 14:09:04,769 [P1244/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-10-13 14:09:04,770 [P1244/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 0ms)
 2016-10-13 14:09:05,693 [P1244/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-10-13 14:09:05,909 [P1244/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-10-13 14:09:05,911 [P1244/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-10-13 14:09:05,986 [P1244/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-10-13 14:09:06,116 [P1244/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-10-13 14:09:06,182 [P1244/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-10-13 14:09:06,207 [P1244/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 2354ms)
 2016-10-13 14:09:09,983 [P1244/D2/T12] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:62297/umbraco (UmbracoModule request)
 2016-10-13 14:09:10,164 [P1244/D2/T12] INFO  umbraco.content - Load Xml from file...
 2016-10-13 14:09:10,168 [P1244/D2/T12] INFO  umbraco.content - Loaded Xml from file.
 2016-10-13 14:09:13,048 [P1244/D2/T12] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2016-10-13 14:09:13,049 [P1244/D2/T12] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 1ms)
 2016-10-13 14:10:18,864 [P1244/D2/T17] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2016-10-12 14:10:18
 2016-10-13 14:10:18,961 [P1244/D2/T19] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2016-10-13 14:10:18,964 [P1244/D2/T19] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 2ms)
 2016-10-13 14:16:35,031 [P1244/D2/T12] INFO  Umbraco.Core.Services.ContentService - Content 'A.K.Informatik' with Id '1213' could not be published because of invalid properties.
 2016-10-13 14:16:35,144 [P1244/D2/T12] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ICacheRefresher
 2016-10-13 14:16:35,187 [P1244/D2/T12] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 0 (took 42ms)
 2016-10-13 14:16:56,794 [P1244/D2/T5] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2016-10-13 14:16:56,818 [P1244/D2/T5] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 24ms)
 2016-10-13 14:16:56,944 [P1244/D2/T21] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
